Item_Path,Before_Size,Before_Size_Bytes,Before_Modified,Item_Type,Category,Tool_Or_Location,Issue_Type,Status_Before,Status_After,Action,Action_Detail,After_Size,After_Size_Bytes,Savings_Bytes,Savings_Human,Priority,Risk_Level,Manifest_ID,Notes,Recovery_Path
/Users/steven/.gemini/supremepower.bak.zip,5.0 MB,5242880,2026-02-10,Archive File,Stale Backup,Gemini Extensions,Backup File,ACTIVE,ARCHIVED,Move to ~/backups/ai-tools/,"Supremepower extension backup — not needed in active extensions dir",0 B,0,5242880,5.0 MB,High,Low,GEM-001,stale backup zip in ~/.gemini/extensions/,cp -R ~/.gemini/supremepower.bak.zip ~/backups/ai-tools/
/Users/steven/.gemini/hist.txt,1.2 MB,1258291,2026-02-10,History Log,Stale Data,Gemini Root,Stale Log,ACTIVE,ARCHIVED,Move to ~/backups/ai-tools/,"1.2MB Gemini session history dump — not needed for runtime",0 B,0,1258291,1.2 MB,Medium,Low,GEM-002,historical session log data,cp -R ~/.gemini/hist.txt ~/backups/ai-tools/
/Users/steven/.gemini/gemini-lvl.txt,843 KB,863520,2026-02-10,Data Dump,Stale Data,Gemini Root,Stale Log,ACTIVE,ARCHIVED,Move to ~/backups/ai-tools/,"843KB Gemini level/context dump — not needed for runtime",0 B,0,863520,843 KB,Medium,Low,GEM-003,historical level context dump,cp -R ~/.gemini/gemini-lvl.txt ~/backups/ai-tools/
/Users/steven/.gemini/GEMINI copy.md,67 KB,68570,2026-02-10,Markdown,Config Duplicate,Gemini Root,Config Backup,ACTIVE,DELETED,Delete,"Duplicate copy of GEMINI.md — original is active",0 B,0,68570,67 KB,Low,Low,GEM-004,duplicate config copy,Already backed up in GEMINI.md
/Users/steven/.gemini/GEMINI_V1_BACKUP.md,8 KB,7984,2026-02-10,Markdown,Config Backup,Gemini Root,Config Backup,ACTIVE,DELETED,Delete,"V1 backup of GEMINI.md — superseded by current version",0 B,0,7984,8 KB,Low,Low,GEM-005,outdated config version V1,Already backed up in GEMINI.md
/Users/steven/.gemini/GEMINI_V2_BACKUP.md,2 KB,2004,2026-02-10,Markdown,Config Backup,Gemini Root,Config Backup,ACTIVE,DELETED,Delete,"V2 backup of GEMINI.md — superseded by current version",0 B,0,2004,2 KB,Low,Low,GEM-006,outdated config version V2,Already backed up in GEMINI.md
/Users/steven/.gemini/GEMINI_V2.md,2.8 KB,2809,2026-02-10,Markdown,Config Version,Gemini Root,Config Version,ACTIVE,KEPT,Keep,"V2 config still referenced — keep as documentation",2.8 KB,2809,0,0,Low,None,GEM-007,active V2 config version,Keep as historical reference
/Users/steven/.gemini/GEMINI_BACKUP_20260117_200357.md,2.2 KB,2226,2026-02-10,Markdown,Config Backup,Gemini Root,Config Backup,ACTIVE,DELETED,Delete,"Dated backup of GEMINI.md — superseded by current version",0 B,0,2226,2.2 KB,Low,Low,GEM-008,dated config backup Jan 17,Already backed up in GEMINI.md
/Users/steven/.gemini/settings.json.backup,570 B,570,2026-02-10,JSON Backup,Config Backup,Gemini Root,Config Backup,ACTIVE,DELETED,Delete,"Backup of settings.json — current is active",0 B,0,570,570 B,Low,Low,GEM-009,old settings backup,Already backed up in settings.json
/Users/steven/.gemini/settings.json.before-reset,888 B,888,2026-02-10,JSON Backup,Config Backup,Gemini Root,Config Backup,ACTIVE,DELETED,Delete,"Pre-reset settings backup — no longer needed",0 B,0,888,888 B,Low,Low,GEM-010,pre-reset config state,Current settings.json is active
